
Conexäes ativas

  Proto  Endere‡o local         Endere‡o externo       Estado
  TCP    [2804:1b1:f9c2:ab7f:752d:979a:26fe:c9bc]:53704  [2620:1ec:33::11]:443  ESTABLISHED
  TCP    [2804:1b1:f9c2:ab7f:752d:979a:26fe:c9bc]:53928  [2620:1ec:33:1::11]:443  ESTABLISHED
  TCP    [2804:1b1:f9c2:ab7f:752d:979a:26fe:c9bc]:54022  [2606:50c0:8001::154]:443  ESTABLISHED
  UDP    0.0.0.0:53             *:*                    
  UDP    0.0.0.0:123            *:*                    
  UDP    0.0.0.0:500            *:*                    
  UDP    0.0.0.0:4500           *:*                    
  UDP    0.0.0.0:5050           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5355           *:*                    
  UDP    0.0.0.0:49574          *:*                    
  UDP    0.0.0.0:50001          *:*                    
  UDP    0.0.0.0:53033          *:*                    
  UDP    0.0.0.0:53034          *:*                    
  UDP    127.0.0.1:1900         *:*                    
  UDP    127.0.0.1:49664        *:*                    
  UDP    127.0.0.1:63399        *:*                    
  UDP    172.19.192.1:67        *:*                    
  UDP    172.19.192.1:68        *:*                    
  UDP    172.19.192.1:137       *:*                    
  UDP    172.19.192.1:138       *:*                    
  UDP    172.19.192.1:1900      *:*                    
  UDP    172.19.192.1:63397     *:*                    
  UDP    192.168.15.11:137      *:*                    
  UDP    192.168.15.11:138      *:*                    
  UDP    192.168.15.11:1900     *:*                    
  UDP    192.168.15.11:63398    *:*                    
  UDP    [::]:123               *:*                    
  UDP    [::]:500               *:*                    
  UDP    [::]:4500              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5355              *:*                    
  UDP    [::]:49574             *:*                    
  UDP    [::]:53035             *:*                    
  UDP    [::1]:1900             *:*                    
  UDP    [::1]:63396            *:*                    
  UDP    [fe80::1d16:f46a:fbe0:b66e%39]:1900  *:*                    
  UDP    [fe80::1d16:f46a:fbe0:b66e%39]:63394  *:*                    
  UDP    [fe80::2b26:36d7:ee73:8660%16]:1900  *:*                    
  UDP    [fe80::2b26:36d7:ee73:8660%16]:63395  *:*                    
